[27-Mar-23 20:51:53] | INFO | py-sc-kpm | ScServer connected by url 'ws://localhost:8090'
[27-Mar-23 20:51:53] | DEBUG | py-sc-kpm | Resolved 'question' identifier with type ScType(0x821): ScAddr(2279)
[27-Mar-23 20:51:53] | DEBUG | py-sc-kpm | Resolved 'exact_value' identifier with type ScType(0x821): ScAddr(309241)
[27-Mar-23 20:51:53] | DEBUG | py-sc-kpm | Resolved 'rrel_dynamic_argument' identifier with type ScType(0x221): ScAddr(656153)
[27-Mar-23 20:51:53] | DEBUG | py-sc-kpm | Resolved 'rrel_1' identifier with type ScType(0x221): ScAddr(357)
[27-Mar-23 20:51:53] | DEBUG | py-sc-kpm | Resolved 'rrel_2' identifier with type ScType(0x221): ScAddr(485)
[27-Mar-23 20:51:53] | DEBUG | py-sc-kpm | Resolved 'nrel_basic_sequence' identifier with type ScType(0x421): ScAddr(271461)
[27-Mar-23 20:51:53] | DEBUG | py-sc-kpm | Resolved 'nrel_system_identifier' identifier with type ScType(0x421): ScAddr(3)
[27-Mar-23 20:51:53] | DEBUG | py-sc-kpm | Resolved 'nrel_answer' identifier with type ScType(0x421): ScAddr(13210)
[27-Mar-23 20:51:53] | DEBUG | py-sc-kpm | Resolved 'concept_filename' identifier with type ScType(0x821): ScAddr(656005)
[27-Mar-23 20:51:53] | DEBUG | py-sc-kpm | Resolved 'question_initiated' identifier with type ScType(0x821): ScAddr(13544)
[27-Mar-23 20:51:53] | DEBUG | py-sc-kpm | Resolved 'question_finished' identifier with type ScType(0x821): ScAddr(29855)
[27-Mar-23 20:51:53] | DEBUG | py-sc-kpm | Resolved 'question_finished_successfully' identifier with type ScType(0x821): ScAddr(13754)
[27-Mar-23 20:51:53] | DEBUG | py-sc-kpm | Resolved 'question_finished_unsuccessfully' identifier with type ScType(0x821): ScAddr(17027)
[27-Mar-23 20:51:53] | DEBUG | py-sc-kpm | Resolved 'question_initiated' identifier with type ScType(0x821): ScAddr(13544)
[27-Mar-23 20:51:53] | DEBUG | py-sc-kpm | Resolved 'action_get_lake_by_area' identifier with type ScType(0x821): ScAddr(28071)
[27-Mar-23 20:51:53] | DEBUG | py-sc-kpm | Resolved 'question_initiated' identifier with type ScType(0x821): ScAddr(13544)
[27-Mar-23 20:51:53] | DEBUG | py-sc-kpm | Resolved 'action_generate_osm_query' identifier with type ScType(0x821): ScAddr(61927)
[27-Mar-23 20:51:53] | DEBUG | py-sc-kpm | Resolved 'question_initiated' identifier with type ScType(0x821): ScAddr(13544)
[27-Mar-23 20:51:53] | DEBUG | py-sc-kpm | Resolved 'action_search_banks_by_type' identifier with type ScType(0x821): ScAddr(1416)
[27-Mar-23 20:51:53] | DEBUG | py-sc-kpm | Resolved 'question_initiated' identifier with type ScType(0x821): ScAddr(13544)
[27-Mar-23 20:51:53] | DEBUG | py-sc-kpm | Resolved 'action_search_banks_by_city' identifier with type ScType(0x821): ScAddr(58919)
[27-Mar-23 20:51:53] | DEBUG | py-sc-kpm | Resolved 'question_initiated' identifier with type ScType(0x821): ScAddr(13544)
[27-Mar-23 20:51:53] | DEBUG | py-sc-kpm | Resolved 'action_street_translator' identifier with type ScType(0x821): ScAddr(8647)
[27-Mar-23 20:51:53] | DEBUG | py-sc-kpm | Resolved 'question_initiated' identifier with type ScType(0x821): ScAddr(13544)
[27-Mar-23 20:51:53] | DEBUG | py-sc-kpm | Resolved 'action_get_kindergartens_by_district' identifier with type ScType(0x821): ScAddr(5767)
[27-Mar-23 20:51:53] | DEBUG | py-sc-kpm | Resolved 'question_initiated' identifier with type ScType(0x821): ScAddr(13544)
[27-Mar-23 20:51:53] | DEBUG | py-sc-kpm | Resolved 'action_get_kindergartens_by_region' identifier with type ScType(0x821): ScAddr(2119)
[27-Mar-23 20:51:53] | DEBUG | py-sc-kpm | Resolved 'question_initiated' identifier with type None: ScAddr(13544)
[27-Mar-23 20:51:53] | DEBUG | py-sc-kpm | Resolved 'question_initiated' identifier with type None: ScAddr(13544)
[27-Mar-23 20:51:53] | DEBUG | py-sc-kpm | Resolved 'question_initiated' identifier with type None: ScAddr(13544)
[27-Mar-23 20:51:53] | DEBUG | py-sc-kpm | Resolved 'question_initiated' identifier with type None: ScAddr(13544)
[27-Mar-23 20:51:53] | DEBUG | py-sc-kpm | Resolved 'question_initiated' identifier with type None: ScAddr(13544)
[27-Mar-23 20:51:53] | DEBUG | py-sc-kpm | Resolved 'question_initiated' identifier with type None: ScAddr(13544)
[27-Mar-23 20:51:53] | DEBUG | py-sc-kpm | Resolved 'question_initiated' identifier with type None: ScAddr(13544)
[27-Mar-23 20:51:53] | INFO | py-sc-kpm | ScServer added modules LakesModule(ClassicScAgent(action_class_name='action_get_lake_by_area')), OpenStreetMapModule(ClassicScAgent(action_class_name='action_generate_osm_query')), SearchBanksByTypeModule(ClassicScAgent(action_class_name='action_search_banks_by_type')), SearchBanksByCityModule(ClassicScAgent(action_class_name='action_search_banks_by_city')), StreetTranslatorModule(ClassicScAgent(action_class_name='action_street_translator')), SearchKindergartensByDistrictModule(ClassicScAgent(action_class_name='action_get_kindergartens_by_district')), SearchKindergartensByRegionModule(ClassicScAgent(action_class_name='action_get_kindergartens_by_region'))
[27-Mar-23 20:51:53] | INFO | py-sc-kpm | ScEvent of GetLakesByAreaAgent was registered, <ScEventType.ADD_OUTGOING_EDGE: 'add_outgoing_edge'>
[27-Mar-23 20:51:53] | INFO | py-sc-kpm | LakesModule was registered
[27-Mar-23 20:51:53] | INFO | py-sc-kpm | ScEvent of OpenStreetMapAgent was registered, <ScEventType.ADD_OUTGOING_EDGE: 'add_outgoing_edge'>
[27-Mar-23 20:51:53] | INFO | py-sc-kpm | OpenStreetMapModule was registered
[27-Mar-23 20:51:53] | INFO | py-sc-kpm | ScEvent of SearchBanksByTypeAgent was registered, <ScEventType.ADD_OUTGOING_EDGE: 'add_outgoing_edge'>
[27-Mar-23 20:51:53] | INFO | py-sc-kpm | SearchBanksByTypeModule was registered
[27-Mar-23 20:51:53] | INFO | py-sc-kpm | ScEvent of SearchBanksByCityAgent was registered, <ScEventType.ADD_OUTGOING_EDGE: 'add_outgoing_edge'>
[27-Mar-23 20:51:53] | INFO | py-sc-kpm | SearchBanksByCityModule was registered
[27-Mar-23 20:51:53] | INFO | py-sc-kpm | ScEvent of StreetTranslatorExecuteAgent was registered, <ScEventType.ADD_OUTGOING_EDGE: 'add_outgoing_edge'>
[27-Mar-23 20:51:53] | INFO | py-sc-kpm | StreetTranslatorModule was registered
[27-Mar-23 20:51:53] | INFO | py-sc-kpm | ScEvent of SearchKindergartensByDistrictAgent was registered, <ScEventType.ADD_OUTGOING_EDGE: 'add_outgoing_edge'>
[27-Mar-23 20:51:53] | INFO | py-sc-kpm | SearchKindergartensByDistrictModule was registered
[27-Mar-23 20:51:53] | INFO | py-sc-kpm | ScEvent of SearchKindergartensByRegionAgent was registered, <ScEventType.ADD_OUTGOING_EDGE: 'add_outgoing_edge'>
[27-Mar-23 20:51:53] | INFO | py-sc-kpm | SearchKindergartensByRegionModule was registered
[27-Mar-23 20:51:53] | INFO | py-sc-kpm | ScServer registered modules successfully
[27-Mar-23 20:52:10] | DEBUG | py-sc-kpm | Resolved 'question' identifier with type None: ScAddr(2279)
[27-Mar-23 20:52:10] | DEBUG | py-sc-kpm | Resolved 'question' identifier with type None: ScAddr(2279)
[27-Mar-23 20:52:10] | DEBUG | py-sc-kpm | Resolved 'question' identifier with type None: ScAddr(2279)
[27-Mar-23 20:52:10] | DEBUG | py-sc-kpm | Resolved 'question' identifier with type None: ScAddr(2279)
[27-Mar-23 20:52:10] | DEBUG | py-sc-kpm | Resolved 'question' identifier with type None: ScAddr(2279)
[27-Mar-23 20:52:10] | DEBUG | py-sc-kpm | Resolved 'question' identifier with type None: ScAddr(2279)
[27-Mar-23 20:52:10] | DEBUG | py-sc-kpm | Resolved 'question' identifier with type None: ScAddr(2279)
[27-Mar-23 20:54:00] | DEBUG | py-sc-kpm | Resolved 'question' identifier with type None: ScAddr(2279)
[27-Mar-23 20:54:00] | DEBUG | py-sc-kpm | Resolved 'question' identifier with type None: ScAddr(2279)
[27-Mar-23 20:54:00] | DEBUG | py-sc-kpm | Resolved 'question' identifier with type None: ScAddr(2279)
[27-Mar-23 20:54:00] | DEBUG | py-sc-kpm | Resolved 'question' identifier with type None: ScAddr(2279)
[27-Mar-23 20:54:00] | DEBUG | py-sc-kpm | Resolved 'question' identifier with type None: ScAddr(2279)
[27-Mar-23 20:54:00] | DEBUG | py-sc-kpm | Resolved 'question' identifier with type None: ScAddr(2279)
[27-Mar-23 20:54:00] | DEBUG | py-sc-kpm | Resolved 'question' identifier with type None: ScAddr(2279)
[27-Mar-23 20:55:26] | DEBUG | py-sc-kpm | Resolved 'question' identifier with type None: ScAddr(2279)
[27-Mar-23 20:55:26] | DEBUG | py-sc-kpm | Resolved 'question' identifier with type None: ScAddr(2279)
[27-Mar-23 20:55:26] | DEBUG | py-sc-kpm | Resolved 'question' identifier with type None: ScAddr(2279)
[27-Mar-23 20:55:26] | DEBUG | py-sc-kpm | Resolved 'question' identifier with type None: ScAddr(2279)
[27-Mar-23 20:55:26] | DEBUG | py-sc-kpm | Resolved 'question' identifier with type None: ScAddr(2279)
[27-Mar-23 20:55:26] | DEBUG | py-sc-kpm | Resolved 'question' identifier with type None: ScAddr(2279)
